Id,Tech meta type,Filename,Filesize,Title,Date archived,Description,Pid,Created at,Updated at,Transcription text,Desc metadata,Discoverability,Md5,Date dl ingest,Date dl update,Dpla,Creator death date,Creation date,Primary author
1223657,image,000033215_0079.tif,27105548,Chemistry Dept.,10/20/2015 12:46,March 1974 | 740047,uva-lib:2552430,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,00435f55204f4f7b08ff4bf5072b3372,,,FALSE,,,
1223658,image,000033215_0080.tif,26530392,Chemistry Dept.,10/20/2015 12:46,March 1974 | 740047,uva-lib:2552431,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,6b7318a2022a478251e57ecdec4dc113,,,FALSE,,,
1223659,image,000033215_0081.tif,26679992,Baseball,10/20/2015 12:46,March 1974 | 740048,uva-lib:2552432,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,1a664da03b237b0a1bed61aa9d4e7018,,,FALSE,,,
1223660,image,000033215_0082.tif,26851998,Baseball,10/20/2015 12:46,March 1974 | 740048,uva-lib:2552433,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,ff10b376a6e58e084837562ad37b53ca,,,FALSE,,,
1223661,image,000033215_0083.tif,26663668,Baseball,10/20/2015 12:46,March 1974 | 740048,uva-lib:2552434,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,afc18bd65a8015f5765505e578f1706a,,,FALSE,,,
1223662,image,000033215_0084.tif,26629256,Baseball,10/20/2015 12:46,March 1974 | 740048,uva-lib:2552435,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,5328498a5b0429d52e3a6284ea0ee20e,,,FALSE,,,
1223663,image,000033215_0085.tif,27032000,Baseball,10/20/2015 12:46,March 1974 | 740048,uva-lib:2552436,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,89ca4ab611c82124419fa2c28925e7ed,,,FALSE,,,
1223664,image,000033215_0086.tif,26984636,Baseball,10/20/2015 12:46,March 1974 | 740048,uva-lib:2552437,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,fa61bc03defa185f48f1ac929be1096e,,,FALSE,,,
1223665,image,000033215_0087.tif,26775770,Easter's Weekend-Mud Party,10/20/2015 12:46,March 1974 | 740049,uva-lib:2552438,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,d0c89f358896c61be444ee595272c523,,,FALSE,,,
1223666,image,000033215_0088.tif,26927564,Easter's Weekend-Mud Party,10/20/2015 12:46,March 1974 | 740049,uva-lib:2552439,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,83901b6a5db53ccb62a78ae2873e4d32,,,FALSE,,,
1223667,image,000033215_0089.tif,26988296,Easter's Weekend-Mud Party,10/20/2015 12:46,March 1974 | 740049,uva-lib:2552440,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,9a8edc6f3a180410fc8479e756bac80c,,,FALSE,,,
1223668,image,000033215_0090.tif,27072248,Easter's Weekend-Mud Party,10/20/2015 12:46,March 1974 | 740049,uva-lib:2552441,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,b87f43dd280b5c924d7c17ef747873c7,,,FALSE,,,
1223669,image,000033215_0091.tif,27249122,Easter's Weekend-Mud Party,10/20/2015 12:46,March 1974 | 740049,uva-lib:2552442,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,6a5fb726d4737c462b4326f88eb355a6,,,FALSE,,,
1223670,image,000033215_0092.tif,26768024,Easter's Weekend-Mud Party,10/20/2015 12:46,March 1974 | 740049,uva-lib:2552443,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,1703132e7633657324bac232b2ebed7e,,,FALSE,,,
